File,Levenshtein-Dist,Levenshtein-Sim,LCS-Dist,LCS-Sim,Overlap,Jaro-Sim,1-cosine,2-cosine,3-cosine,4-cosine,1-jaccard,2-jaccard,3-jaccard,4-jaccard,1-sorensen_dice,2-sorensen_dice,3-sorensen_dice,4-sorensen_dice,1-qgram,2-qgram,3-qgram,4-qgram
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,338,0.751470588,425,0.831013917,0.99787573,0.810573023,0.978253401,0.899395292,0.813818723,0.730509924,0.8,0.641304348,0.522522523,0.459677419,0.888888889,0.781456954,0.686390533,0.629834254,0.8,0.653225806,0.526315789,0.467153285
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,2132,0.415730337,2352,0.57080292,0.990641711,0.683437419,0.302536495,0.206072092,0.078634993,0.066057036,0.466666667,0.304761905,0.201550388,0.141891892,0.636363636,0.467153285,0.335483871,0.24852071,0.218085106,0.145728643,0.088729017,0.071090047
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird.hepsy,1511,0.452536232,1704,0.59962406,0.991683992,0.715432609,0.820545827,0.590327439,0.481225448,0.320013634,0.341772152,0.194444444,0.12568306,0.074766355,0.509433962,0.325581395,0.223300971,0.139130435,0.325670498,0.178082192,0.121311475,0.072555205
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,803,0.536106297,902,0.67831669,0.984392419,0.746388204,0.790072927,0.401663209,0.253193234,0.153793607,0.426470588,0.230088496,0.147058824,0.098684211,0.597938144,0.374100719,0.256410256,0.179640719,0.445859873,0.222826087,0.143589744,0.094059406
2024-02-14 14.50 03%20-%20RT%20App%20Paper-representations.aird.hepsy,662,0.496960486,850,0.64846981,0.95530086,0.775939203,0.425254631,0.223865153,0.141772026,0.076980036,0.360655738,0.217821782,0.133333333,0.090909091,0.530120482,0.357723577,0.235294118,0.166666667,0.251612903,0.149700599,0.098265896,0.068181818
2024-02-14 15.04 04%20-%20RT%20App%20Paper%202-representations.aird.hepsy,572,0.66293459,708,0.790780142,0.955399926,0.828548157,0.843391189,0.532311222,0.415785036,0.273394371,0.385714286,0.228813559,0.137931034,0.083333333,0.556701031,0.372413793,0.242424242,0.153846154,0.478723404,0.254545455,0.170940171,0.105691057
2024-02-14 15.40 05%20-%20Hepsy%20Example-representations.aird.hepsy,1524,0.375921376,1584,0.537922987,0.998083067,0.675044038,0.770116881,0.45335954,0.316385729,0.20054519,0.5,0.3125,0.203389831,0.132352941,0.666666667,0.476190476,0.338028169,0.233766234,0.238095238,0.148148148,0.103942652,0.06993007
2024-02-14 15.51 06%20-%20Sobel-representations.aird.hepsy,766,0.526283241,1020,0.668831169,0.922636103,0.802660227,0.571722651,0.397996784,0.318464878,0.196822512,0.361111111,0.171641791,0.117283951,0.075268817,0.530612245,0.292993631,0.209944751,0.14,0.32972973,0.178743961,0.12037037,0.076233184
2024-02-14 15.52 07%20-%20Roberts-representations.aird.hepsy,623,0.590670171,807,0.729648241,0.941465411,0.822449586,0.859813222,0.53735854,0.4009614,0.275948295,0.402777778,0.208,0.134228188,0.088235294,0.574257426,0.344370861,0.236686391,0.162162162,0.533742331,0.24,0.14953271,0.094170404
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird.hepsy,930,0.492635025,1051,0.640929279,0.992592593,0.737793526,0.828947485,0.620359352,0.498684822,0.325863267,0.358024691,0.227941176,0.147239264,0.090425532,0.527272727,0.371257485,0.256684492,0.165853659,0.366666667,0.226130653,0.152380952,0.090909091
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,518,0.622723962,682,0.73212883,0.986632391,0.816768328,0.898549498,0.651452217,0.498981649,0.315104396,0.381578947,0.212121212,0.134615385,0.086705202,0.552380952,0.35,0.237288136,0.159574468,0.554744526,0.286585366,0.18079096,0.106951872
2024-02-14 17.46 10%20-%20JPEG_encoder-representations.aird.hepsy,2349,0.330196749,2467,0.48636269,0.996133398,0.654865855,0.842570568,0.650111533,0.505397643,0.344476307,0.346666667,0.184615385,0.108280255,0.06010929,0.514851485,0.311688312,0.195402299,0.113402062,0.226361032,0.126984127,0.078880407,0.047146402
2024-02-14 17.58 11%20-%20JPEG%20Reduced-representations.aird.hepsy,820,0.539066892,966,0.686363636,0.985016916,0.769871303,0.89695233,0.695239026,0.562288813,0.410099281,0.333333333,0.195652174,0.125748503,0.083333333,0.5,0.327272727,0.223404255,0.153846154,0.444444444,0.246376812,0.158371041,0.104347826
2024-02-14 18.17 12%20-%20FIRFIRGCD_ext-representations.aird.hepsy,2670,0.333666084,2822,0.489507959,0.983427648,0.65144099,0.811745121,0.609425698,0.484586936,0.310013065,0.383561644,0.203125,0.126582278,0.081081081,0.554455446,0.337662338,0.224719101,0.15,0.205673759,0.118942731,0.078891258,0.047817048
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird.hepsy,1704,0.435387674,1940,0.596337911,0.982954545,0.716827284,0.693628629,0.482377896,0.377501234,0.235538846,0.417910448,0.229508197,0.155405405,0.104651163,0.589473684,0.373333333,0.269005848,0.189473684,0.257790368,0.151041667,0.105527638,0.065693431
