File,Levenshtein-Dist,Levenshtein-Sim,LCS-Dist,LCS-Sim,Overlap,Jaro-Sim,1-cosine,2-cosine,3-cosine,4-cosine,1-jaccard,2-jaccard,3-jaccard,4-jaccard,1-sorensen_dice,2-sorensen_dice,3-sorensen_dice,4-sorensen_dice,1-qgram,2-qgram,3-qgram,4-qgram
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,351,0.741911765,468,0.820414428,0.995586072,0.832322642,0.966290721,0.861678171,0.765839581,0.656551749,0.771929825,0.59,0.483333333,0.407407407,0.871287129,0.742138365,0.651685393,0.578947368,0.783333333,0.593984962,0.478873239,0.405405405
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,1706,0.532474651,1964,0.678032787,0.992542878,0.742354691,0.822229609,0.553322204,0.404073293,0.241612242,0.478873239,0.314516129,0.209150327,0.142045455,0.647619048,0.478527607,0.345945946,0.248756219,0.407202216,0.255583127,0.16937355,0.105726872
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird.hepsy,1544,0.44057971,1715,0.594274899,0.995020747,0.716182134,0.83925137,0.529571367,0.372325628,0.236484563,0.310344828,0.165605096,0.109375,0.067264574,0.473684211,0.284153005,0.197183099,0.12605042,0.330769231,0.150501672,0.096153846,0.059190031
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,598,0.591808874,700,0.724192277,0.982162765,0.782436,0.827228201,0.459595962,0.306029206,0.200943154,0.383561644,0.214876033,0.143884892,0.097402597,0.554455446,0.353741497,0.251572327,0.177514793,0.452054795,0.220930233,0.142857143,0.101604278
2024-02-14 14.50 03%20-%20RT%20App%20Paper-representations.aird.hepsy,703,0.510445682,918,0.666424419,0.953372567,0.830324984,0.802402564,0.346285809,0.182328609,0.080687153,0.369863014,0.2,0.120805369,0.078787879,0.54,0.333333333,0.215568862,0.146067416,0.446540881,0.175257732,0.102439024,0.061611374
2024-02-14 15.04 04%20-%20RT%20App%20Paper%202-representations.aird.hepsy,982,0.439177613,1292,0.624200116,0.922599489,0.807443242,0.772984095,0.376386381,0.162867986,0.087607662,0.342465753,0.15503876,0.081761006,0.048913043,0.510204082,0.268456376,0.151162791,0.093264249,0.42,0.170124481,0.076923077,0.045112782
2024-02-14 15.40 05%20-%20Hepsy%20Example-representations.aird.hepsy,1609,0.341113841,1713,0.4969163,0.99742268,0.673495103,0.744893634,0.378655864,0.239162618,0.164967181,0.45,0.254901961,0.152,0.09929078,0.620689655,0.40625,0.263888889,0.180645161,0.228346457,0.119133574,0.076923077,0.055172414
2024-02-14 15.51 06%20-%20Sobel-representations.aird.hepsy,794,0.457279563,1009,0.652906777,0.948275862,0.819859533,0.820861867,0.404028703,0.140436976,0.074008839,0.325,0.166666667,0.103030303,0.069892473,0.490566038,0.285714286,0.186813187,0.130653266,0.437869822,0.181372549,0.086363636,0.058035714
2024-02-14 15.52 07%20-%20Roberts-representations.aird.hepsy,701,0.520847573,897,0.682477876,0.951633987,0.822391327,0.860659924,0.418448809,0.203556685,0.079532241,0.368421053,0.195488722,0.113924051,0.073446328,0.538461538,0.327044025,0.204545455,0.136842105,0.481481481,0.184079602,0.097674419,0.058823529
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird.hepsy,947,0.483360611,1161,0.630136986,0.983396584,0.765365988,0.760667306,0.452676734,0.299007109,0.221601315,0.329411765,0.183673469,0.111111111,0.073529412,0.495575221,0.310344828,0.2,0.136986301,0.350515464,0.176470588,0.102564103,0.071129707
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,406,0.679558011,546,0.776229508,0.971722365,0.834292246,0.889698308,0.611118905,0.434383432,0.293764995,0.397260274,0.208,0.136986301,0.09202454,0.568627451,0.344370861,0.240963855,0.168539326,0.560606061,0.275,0.167630058,0.104972376
2024-02-14 17.46 10%20-%20JPEG_encoder-representations.aird.hepsy,2309,0.341602509,2528,0.492573264,0.992216305,0.667443837,0.788498602,0.287241061,0.014884099,0.011783502,0.325,0.130136986,0.0625,0.04,0.490566038,0.23030303,0.117647059,0.076923077,0.238227147,0.07748184,0.025462963,0.018475751
2024-02-14 17.58 11%20-%20JPEG%20Reduced-representations.aird.hepsy,831,0.532883642,1033,0.676277029,0.98435518,0.787066382,0.821285673,0.492338908,0.364010929,0.285946755,0.305882353,0.158940397,0.098901099,0.06763285,0.468468468,0.274285714,0.18,0.126696833,0.415384615,0.186147186,0.114754098,0.08
2024-02-14 18.17 12%20-%20FIRFIRGCD_ext-representations.aird.hepsy,2808,0.299226354,2938,0.451456311,0.986848073,0.64190979,0.807437999,0.601947836,0.467769409,0.304453823,0.361111111,0.195121951,0.12,0.074712644,0.530612245,0.326530612,0.214285714,0.139037433,0.195238095,0.10619469,0.070967742,0.044210526
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird.hepsy,2102,0.30351226,2177,0.457513082,0.984615385,0.648042335,0.769032764,0.505660941,0.372669021,0.233157166,0.527272727,0.3,0.196261682,0.133333333,0.69047619,0.461538462,0.328125,0.235294118,0.206349206,0.125,0.086705202,0.059490085
