N,Missing,Mean,SE,95% Confidence Interval Lower,95% Confidence Interval Upper,Median,Mode,Sum,SD,Variance,IQR,Range,Minimum,Maximum,Skewness,Kurtosis,Shapiro-Wilk W,Shapiro-Wilk p value,25th,50th,75th,90th,95th,99th,Tag
98,0,11.408163265306122,0.1763629171299382,11.062491947731443,11.7538345828808,12.0,13,1118,1.745903805133886,3.048180096780982,3.0,10,7,17,-0.2077839407643649,-0.21999756229264644,0.8737551355914789,1.255583079812765e-07,10.0,12.0,13.0,13.0,13.0,13.120000000000005,incoming
15,0,3.0,0.0,,,3.0,3,45,0.0,0.0,0.0,0,3,3,,,,,3.0,3.0,3.0,3.0,3.0,3.0,intermediateCatchEvent
4,0,1.0,0.0,,,1.0,1,4,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,intermediateThrowEvent
6,0,1.8333333333333333,0.3073181485764296,1.2309897621235313,2.4356769045431355,2.0,2,11,0.752772652709081,0.5666666666666667,0.75,2,1,3,0.22826882356360806,-0.8927335640138399,0.8662615478751423,0.21170547895978764,1.25,2.0,2.0,2.5,2.75,2.95,lane
11,0,1.0,0.0,,,1.0,1,11,0.0,0.0,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,laneSet
49,0,2.020408163265306,0.15289106187522145,1.720741681989872,2.32007464454074,2.0,1,99,1.07023743312655,1.1454081632653066,2.0,3,1,4,0.26844270312115015,-1.5477709270622002,0.7484701536815548,8.535248428646377e-08,1.0,2.0,3.0,3.0,3.5999999999999943,4.0,messageEventDefinition
1,0,4.0,,,,4.0,4,4,,,0.0,0,4,4,,,,,4.0,4.0,4.0,4.0,4.0,4.0,multiInstanceLoopCharacteristics
98,0,11.408163265306122,0.1763629171299382,11.062491947731443,11.7538345828808,12.0,13,1118,1.745903805133886,3.048180096780982,3.0,10,7,17,-0.2077839407643649,-0.21999756229264644,0.8737551355914789,1.255583079812765e-07,10.0,12.0,13.0,13.0,13.0,13.120000000000005,outgoing
13,0,1.2307692307692308,0.12162606385262997,0.9923821456180761,1.4691563159203855,1.0,1,16,0.4385290096535146,0.19230769230769232,0.0,1,1,2,1.2780193008453868,-0.3666666666666685,0.5332386627553194,1.8373308917804736e-05,1.0,1.0,1.0,2.0,2.0,2.0,parallelGateway
98,0,1.0408163265306123,0.020090094502135357,1.0014397413064269,1.0801929117547977,1.0,1,102,0.1988817887999388,0.039553965916263464,0.0,1,1,2,4.641395608164564,19.54255319148935,0.19751870844804764,1.0694348204146713e-20,1.0,1.0,1.0,1.0,1.0,2.0,process
88,0,2.5113636363636362,0.1648233896819983,2.1883097925869195,2.834417480140353,2.0,1,221,1.5461804491039266,2.3906739811912203,3.0,6,1,7,0.8511481949298939,0.3238927040701687,0.8452900047034444,3.778526705152171e-08,1.0,2.0,4.0,4.0,5.0,7.0,property
98,0,11.408163265306122,0.1763629171299382,11.062491947731443,11.7538345828808,12.0,13,1118,1.745903805133886,3.048180096780982,3.0,10,7,17,-0.2077839407643649,-0.21999756229264644,0.8737551355914789,1.255583079812765e-07,10.0,12.0,13.0,13.0,13.0,13.120000000000005,sequenceFlow
88,0,3.1931818181818183,0.21002683969490538,2.781529212379804,3.604834423983833,3.0,1,281,1.9702263977817867,3.881792058516195,4.0,7,1,8,0.5360514725741713,-0.756858142224599,0.8964210963109304,3.5014965097937404e-06,1.0,3.0,5.0,6.0,6.6499999999999915,8.0,sourceRef
98,0,1.2346938775510203,0.06454459477392713,1.1081864717941232,1.3612012833079175,1.0,1,121,0.6389588891501433,0.4082684620239852,0.0,2,1,3,2.377394728286005,3.7129310993289755,0.38360685519273163,2.1499939556554364e-18,1.0,1.0,1.0,3.0,3.0,3.0,startEvent
1,0,1.0,,,,1.0,1,1,,,0.0,0,1,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,subProcess
91,0,6.6923076923076925,0.3524525297983365,6.001500733902953,7.383114650712432,6.0,4,609,3.3621828481320737,11.304273504273503,5.0,15,1,16,0.5437657976370865,-0.49438396832289166,0.9501268592505813,0.0015873582725027713,4.0,6.0,9.0,12.0,12.0,14.199999999999989,targetRef
98,0,5.3979591836734695,0.1560477276776342,5.092105637425306,5.703812729921633,5.0,4,529,1.5447936900144958,2.3863875447086023,3.0,6,2,8,0.02379481705993332,-1.6189487353243623,0.7764281841121932,6.668288832924416e-11,4.0,5.0,7.0,7.0,7.0,8.0,task
2,0,2.0,1.0,0.040000000000000036,3.96,2.0,1,4,1.4142135623730951,2.0,1.0,2,1,3,,,,,1.5,2.0,2.5,2.8,2.9,2.98,text
2,0,2.0,1.0,0.040000000000000036,3.96,2.0,1,4,1.4142135623730951,2.0,1.0,2,1,3,,,,,1.5,2.0,2.5,2.8,2.9,2.98,textAnnotation
