File,Levenshtein-Dist,Levenshtein-Sim,LCS-Dist,LCS-Sim,Overlap,Jaro-Sim,1-cosine,2-cosine,3-cosine,4-cosine,1-jaccard,2-jaccard,3-jaccard,4-jaccard,1-sorensen_dice,2-sorensen_dice,3-sorensen_dice,4-sorensen_dice,1-qgram,2-qgram,3-qgram,4-qgram
DigitalCamNominal,448,0.680911681,548,0.801736614,0.979519145,0.84264186,0.965480171,0.868743944,0.777119734,0.693073081,0.75,0.603960396,0.504132231,0.448529412,0.857142857,0.75308642,0.67032967,0.61928934,0.761538462,0.598591549,0.490066225,0.438709677
DigitalCamParallel,1714,0.530282269,1847,0.683461868,0.999451905,0.722633984,0.806165064,0.524199186,0.395361157,0.249013775,0.523809524,0.355140187,0.222222222,0.14556962,0.6875,0.524137931,0.363636364,0.254143646,0.40625,0.257653061,0.171837709,0.108843537
FIRFIRGCD,1535,0.44384058,1919,0.575911602,0.981622746,0.733285244,0.584624099,0.246544359,0.027701734,0.02549127,0.308641975,0.144736842,0.077319588,0.054054054,0.471698113,0.252873563,0.14354067,0.102564103,0.28113879,0.108359133,0.04398827,0.035087719
RTApp,956,0.458356941,1094,0.614517266,0.985507246,0.740233317,0.603265603,0.241904951,0.075785695,0.065040663,0.382352941,0.186440678,0.112676056,0.083870968,0.553191489,0.314285714,0.202531646,0.154761905,0.319767442,0.147959184,0.077294686,0.0625
RTAppPaper,708,0.489545782,927,0.657047725,0.912177456,0.811214685,0.568062848,0.175063338,0.063429169,0.055847188,0.353846154,0.18018018,0.114503817,0.082191781,0.522727273,0.305343511,0.205479452,0.151898734,0.331325301,0.134715026,0.074257426,0.0591133
RTAppPaper202,881,0.477771191,1125,0.653526332,0.951978486,0.812394053,0.619637536,0.208328085,0.047605056,0.024796101,0.378787879,0.168067227,0.081632653,0.047619048,0.549450549,0.287769784,0.150943396,0.090909091,0.353233831,0.12033195,0.046875,0.031007752
HepsyExample,1739,0.287878788,1831,0.437134952,0.994615385,0.655524001,0.581403924,0.165216017,0.051794584,0.042562827,0.413793103,0.214285714,0.12605042,0.090225564,0.585365854,0.352941176,0.223880597,0.165517241,0.19047619,0.087591241,0.053380783,0.042553191
Sobel,879,0.512208657,1111,0.659724349,0.977486697,0.804251045,0.592138232,0.2984693,0.196676436,0.05843309,0.290697674,0.147651007,0.08988764,0.06,0.45045045,0.257309942,0.164948454,0.113207547,0.348717949,0.154867257,0.088235294,0.048979592
Roberts,839,0.521937322,1042,0.676196395,0.968481375,0.807847233,0.582353183,0.282420749,0.188425587,0.054815097,0.283950617,0.15,0.096969697,0.064864865,0.442307692,0.260869565,0.17679558,0.121827411,0.336734694,0.145374449,0.088607595,0.049180328
RASTA-PLP,947,0.483360611,1118,0.629310345,0.99377916,0.753168908,0.840937233,0.550912451,0.415306747,0.284985223,0.34939759,0.194444444,0.122093023,0.076530612,0.517857143,0.325581395,0.21761658,0.142180095,0.387978142,0.2,0.121076233,0.07826087
Susan,512,0.614167295,678,0.7288,0.974293059,0.826638349,0.828269391,0.500082643,0.364972628,0.225973073,0.375,0.203252033,0.130136986,0.084337349,0.545454545,0.337837838,0.23030303,0.155555556,0.48630137,0.242774566,0.151351351,0.093264249
JPEGencoder,2260,0.355574565,2462,0.508582834,0.992607803,0.667709313,0.794509137,0.543214759,0.406913175,0.238757429,0.325,0.161971831,0.093567251,0.050251256,0.490566038,0.278787879,0.171122995,0.09569378,0.229916898,0.116161616,0.070559611,0.037914692
JPEGReduced,817,0.540753232,1042,0.671914358,0.983793254,0.788701555,0.831725022,0.548086555,0.433452467,0.305820772,0.298850575,0.167785235,0.106145251,0.068292683,0.460176991,0.287356322,0.191919192,0.127853881,0.404145078,0.200892857,0.126582278,0.081632653
FIRFIRGCDext,2823,0.295482905,2987,0.444692322,0.981382979,0.639594944,0.763164234,0.551248392,0.400113861,0.240350642,0.385714286,0.204918033,0.118421053,0.073446328,0.556701031,0.340136054,0.211764706,0.136842105,0.195704057,0.106430155,0.061965812,0.037735849
FIRFIRGCD_HPV,1710,0.433399602,1819,0.599603786,0.984006397,0.695925539,0.799311927,0.564019785,0.440399119,0.281373567,0.446153846,0.275229358,0.181818182,0.125,0.617021277,0.431654676,0.307692308,0.222222222,0.276595745,0.167597765,0.11827957,0.078125
