file,total_tokens,execution_time,tokens_per_second,total_cost
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.hepsy,6372,17.165117740631104,371.2179605338217,0.07618000000000001
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.hepsy,6683,0.0010051727294921875,6648608.546489564,0.09045
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird_1_0.hepsy,6002,41.387288093566895,145.02037404410007,0.08462
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird_1_1.hepsy,6072,45.84745764732361,132.43918663294647,0.08582000000000001
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird_1_2.hepsy,6042,36.07127094268799,167.5017220657365,0.08442000000000001
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird_2_0.hepsy,5997,30.548096418380737,196.31337802088433,0.08449000000000001
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird_2_1.hepsy,6050,41.638516664505005,145.2981634467627,0.08526
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird.hepsy,6257,0.0010099411010742188,6195410.795089708,0.07639
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird_1_0.hepsy,4944,18.410269021987915,268.54577703863197,0.06264
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird_1_1.hepsy,4747,14.286711692810059,332.26680163140543,0.06069
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird_1_2.hepsy,4711,18.66057848930359,252.45733955677673,0.05957000000000001
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird_2_0.hepsy,4988,26.744196891784668,186.50775045453778,0.064
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird_2_1.hepsy,4988,17.428994178771973,286.18977944666733,0.06374
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,6257,0.002001523971557617,3126117.942584872,0.07639
2024-02-14 14.40 02%20-%20RT%20App-representations.aird_1_0.hepsy,5004,28.502429008483887,175.5639843365818,0.06448000000000001
2024-02-14 14.40 02%20-%20RT%20App-representations.aird_1_1.hepsy,4870,21.03420066833496,231.52769514704372,0.06314
2024-02-14 14.40 02%20-%20RT%20App-representations.aird_1_2.hepsy,4870,0.000995635986328125,4891345.900383142,0.06314
2024-02-14 14.40 02%20-%20RT%20App-representations.aird_2_0.hepsy,4981,18.431090354919434,270.2498823500436,0.06383
2024-02-14 14.40 02%20-%20RT%20App-representations.aird_2_1.hepsy,4820,26.35006618499756,182.92174168216218,0.06214
2024-02-14 14.50 03%20-%20RT%20App%20Paper-representations.aird.hepsy,6076,18.043214559555054,336.74709015652445,0.07312
2024-02-14 14.50 03%20-%20RT%20App%20Paper-representations.aird_1_0.hepsy,4897,27.543274641036987,177.79294814509504,0.06269
2024-02-14 15.04 04%20-%20RT%20App%20Paper%202-representations.aird.hepsy,6375,0.002000570297241211,3186591.3478727206,0.08091000000000001
2024-02-14 15.04 04%20-%20RT%20App%20Paper%202-representations.aird_1_0.hepsy,5294,38.19026327133179,138.62172047329238,0.06972
2024-02-14 15.04 04%20-%20RT%20App%20Paper%202-representations.aird_1_1.hepsy,5292,24.530579805374146,215.7307345357011,0.07004
2024-02-14 15.04 04%20-%20RT%20App%20Paper%202-representations.aird_1_2.hepsy,5280,26.565144062042236,198.75668611729304,0.0694
2024-02-14 15.04 04%20-%20RT%20App%20Paper%202-representations.aird_2_0.hepsy,5267,32.48767328262329,162.12302906952604,0.06891
2024-02-14 15.04 04%20-%20RT%20App%20Paper%202-representations.aird_2_1.hepsy,5226,35.72645139694214,146.2781719330596,0.06858
