file,total_tokens,execution_time,tokens_per_second,total_cost
2024-02-14 15.40 05%20-%20Hepsy%20Example-representations.aird.hepsy,5940,23.215909481048584,255.859026537336,0.06872
2024-02-14 15.51 06%20-%20Sobel-representations.aird.hepsy,6186,0.001188039779663086,5206896.3564118,0.07574
2024-02-14 15.51 06%20-%20Sobel-representations.aird_1_0.hepsy,4825,16.47581672668457,292.85346396123305,0.06229
2024-02-14 15.51 06%20-%20Sobel-representations.aird_1_1.hepsy,4942,32.49800491333008,152.07087367916802,0.06354
2024-02-14 15.51 06%20-%20Sobel-representations.aird_1_2.hepsy,4942,0.0019981861114501953,2473243.0936642406,0.06354
2024-02-14 15.51 06%20-%20Sobel-representations.aird_2_0.hepsy,4825,0.0010628700256347656,4539595.513683266,0.06229
2024-02-14 15.51 06%20-%20Sobel-representations.aird_2_1.hepsy,4942,0.001007080078125,4907256.242424242,0.06354
2024-02-14 15.52 07%20-%20Roberts-representations.aird.hepsy,6183,0.0020084381103515625,3078511.5897435895,0.07515000000000001
2024-02-14 15.52 07%20-%20Roberts-representations.aird_1_0.hepsy,4969,29.41934633255005,168.9024611162831,0.06401000000000001
2024-02-14 15.52 07%20-%20Roberts-representations.aird_1_1.hepsy,5061,32.6100697517395,155.1974601259488,0.06579
2024-02-14 15.52 07%20-%20Roberts-representations.aird_1_2.hepsy,5064,24.540563821792603,206.3522271441477,0.06504000000000001
2024-02-14 15.52 07%20-%20Roberts-representations.aird_2_0.hepsy,4969,19.37260913848877,256.49616757754006,0.06401000000000001
2024-02-14 15.52 07%20-%20Roberts-representations.aird_2_1.hepsy,4984,22.395628452301025,222.54343121538622,0.06344
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird.hepsy,6071,0.0020096302032470703,3020953.8004508247,0.07261000000000001
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird_1_0.hepsy,4780,15.033882141113281,317.94848164520954,0.0597
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird_1_1.hepsy,4791,19.609323501586914,244.32255399388362,0.06001
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird_1_2.hepsy,4813,16.81660270690918,286.2052510774103,0.060450000000000004
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird_2_0.hepsy,4838,15.541296482086182,311.29963999956925,0.06140000000000001
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird_2_1.hepsy,4885,18.97452139854431,257.45049887660235,0.06179
2024-02-14 17.00 09%20-%20Susan-representations.aird.hepsy,6118,0.0020046234130859375,3051944.79923882,0.07384
2024-02-14 17.00 09%20-%20Susan-representations.aird_1_0.hepsy,4855,17.717000246047974,274.0305882810481,0.061270000000000005
2024-02-14 17.00 09%20-%20Susan-representations.aird_1_1.hepsy,4886,14.063435792922974,347.42576934569155,0.062240000000000004
2024-02-14 17.00 09%20-%20Susan-representations.aird_1_2.hepsy,4912,26.81892728805542,183.15423086245886,0.06230000000000001
2024-02-14 17.00 09%20-%20Susan-representations.aird_2_0.hepsy,4858,15.635575771331787,310.701701750393,0.061320000000000006
2024-02-14 17.00 09%20-%20Susan-representations.aird_2_1.hepsy,4852,17.353126764297485,279.60378932876574,0.061180000000000005
2024-02-14 17.46 10%20-%20JPEG_encoder-representations.aird.hepsy,6262,18.903408765792847,331.2630053967602,0.07714000000000001
2024-02-14 17.58 11%20-%20JPEG%20Reduced-representations.aird.hepsy,6234,17.020531177520752,366.2635398966472,0.07654
2024-02-14 18.17 12%20-%20FIRFIRGCD_ext-representations.aird.hepsy,6209,22.56904649734497,275.1113123334842,0.07671
2024-02-14 18.17 12%20-%20FIRFIRGCD_ext-representations.aird_1_0.hepsy,4946,17.623611211776733,280.6462274142149,0.06296
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird.hepsy,6128,0.0009927749633789062,6172597.241114313,0.07362
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird_1_0.hepsy,4856,17.229561805725098,281.84117824670574,0.06148000000000001
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird_1_1.hepsy,4891,14.644286394119263,333.986912599858,0.06199
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird_1_2.hepsy,4928,23.0475594997406,213.8187342592809,0.0629
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird_2_0.hepsy,4742,11.536901235580444,411.0289152320563,0.05804
