File,Tag,Occurrences,Category,CategoryEMF
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,name,22,Uncategorized,Uncategorized
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,ports,4,Uncategorized,Classes
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,nchannels,4,Uncategorized,Relations
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,nfrom,4,Uncategorized,Attributes
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,nto,4,Uncategorized,Attributes
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,processes,4,Uncategorized,Classes
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,nodes,3,Uncategorized,Classes
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,{http://www.w3.org/2001/xmlschema-instance}type,3,Uncategorized,Uncategorized
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,queuesize,3,Uncategorized,Attributes
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,rendezvous,3,Uncategorized,Attributes
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,message,3,Uncategorized,Classes
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,entry,3,Uncategorized,Classes
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,type,3,Uncategorized,Attributes
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,pchannels,2,Uncategorized,Relations
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,pfrom,2,Uncategorized,Attributes
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,pto,2,Uncategorized,Attributes
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,behaviorspecification,1,Uncategorized,Uncategorized
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,{http://www.omg.org/xmi}version,1,Uncategorized,Uncategorized
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,portextension,1,Uncategorized,Attributes
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.hepsy,processextension,1,Uncategorized,Uncategorized
