File,Levenshtein-Dist,Levenshtein-Sim,LCS-Dist,LCS-Sim,Overlap,Jaro-Sim,1-cosine,2-cosine,3-cosine,4-cosine,1-jaccard,2-jaccard,3-jaccard,4-jaccard,1-sorensen_dice,2-sorensen_dice,3-sorensen_dice,4-sorensen_dice,1-qgram,2-qgram,3-qgram,4-qgram
DigitalCamNominal,338,0.751470588,426,0.842804428,0.989105765,0.848265183,0.945257268,0.861418469,0.772957067,0.700397588,0.775862069,0.639175258,0.521367521,0.462121212,0.873786408,0.779874214,0.685393258,0.632124352,0.748031496,0.617647059,0.513888889,0.459459459
DigitalCamParallel,1495,0.590298712,1718,0.723705372,0.999050107,0.754602626,0.811888703,0.533981535,0.393449725,0.22281974,0.478873239,0.319672131,0.202614379,0.141242938,0.647619048,0.48447205,0.336956522,0.247524752,0.423497268,0.259708738,0.169683258,0.102783726
FIRFIRGCD,1598,0.421014493,1692,0.580980684,0.999034283,0.697296952,0.92123366,0.818545956,0.735761172,0.600251543,0.388888889,0.229007634,0.157575758,0.096938776,0.56,0.372670807,0.272251309,0.176744186,0.352459016,0.233082707,0.168458781,0.109589041
RTApp,421,0.67057903,541,0.769885155,0.975473802,0.817713795,0.879415432,0.674121528,0.560336801,0.427837566,0.491525424,0.309278351,0.217391304,0.146153846,0.659090909,0.472440945,0.357142857,0.255033557,0.563492063,0.354166667,0.253246753,0.179012346
RTAppPaper,686,0.582471089,881,0.702264278,0.971027614,0.799006863,0.808713631,0.490982094,0.310700263,0.184773954,0.375,0.208,0.134228188,0.089820359,0.545454545,0.344370861,0.236686391,0.164835165,0.45508982,0.229591837,0.138095238,0.092165899
RTAppPaper202,792,0.553047404,1003,0.710031801,0.922122674,0.816965489,0.83321726,0.501736862,0.351226082,0.213192334,0.371428571,0.178294574,0.094936709,0.054945055,0.541666667,0.302631579,0.173410405,0.104166667,0.487046632,0.217948718,0.123015873,0.068441065
HepsyExample,1475,0.395986896,1681,0.542833832,0.993390951,0.700420979,0.778160339,0.438720696,0.288524911,0.162606642,0.430769231,0.230088496,0.144927536,0.095541401,0.602150538,0.374100719,0.253164557,0.174418605,0.276923077,0.141868512,0.086092715,0.055016181
Sobel,469,0.679425837,587,0.797655981,0.956293706,0.827035205,0.8901862,0.681563339,0.551199708,0.375794707,0.333333333,0.2,0.129032258,0.078651685,0.5,0.333333333,0.228571429,0.145833333,0.522012579,0.290322581,0.184079602,0.102803738
Roberts,637,0.598613737,840,0.724590164,0.959885387,0.81848758,0.851649704,0.584635227,0.460881244,0.295545966,0.346153846,0.189781022,0.124223602,0.082417582,0.514285714,0.319018405,0.220994475,0.152284264,0.49122807,0.246305419,0.156682028,0.092105263
RASTA-PLP,898,0.510092744,1086,0.658705217,0.990145472,0.776995319,0.861803725,0.63643057,0.506219347,0.319801075,0.280898876,0.163398693,0.10326087,0.066985646,0.438596491,0.280898876,0.187192118,0.125560538,0.383419689,0.210045662,0.13362069,0.078512397
Susan,502,0.63384391,632,0.751572327,0.974807198,0.819513662,0.870668484,0.660059385,0.533855858,0.355199212,0.333333333,0.192307692,0.130718954,0.087209302,0.5,0.322580645,0.231213873,0.160427807,0.456375839,0.264705882,0.183333333,0.116402116
JPEGencoder,2283,0.349016253,2464,0.501012556,0.992681877,0.663346078,0.794888493,0.547243364,0.409647728,0.239546644,0.316455696,0.175182482,0.103030303,0.056994819,0.480769231,0.298136646,0.186813187,0.107843137,0.225,0.122762148,0.07635468,0.040669856
JPEGReduced,763,0.571107364,1023,0.702183406,0.97005988,0.817076368,0.853978806,0.601503025,0.476714575,0.316302516,0.313953488,0.164473684,0.10326087,0.0657277,0.477876106,0.282485876,0.187192118,0.123348018,0.474489796,0.237068966,0.144578313,0.084291188
FIRFIRGCDext,2769,0.308959321,2883,0.463228449,0.983518931,0.637322907,0.763164234,0.552105699,0.400848596,0.241048661,0.385714286,0.214876033,0.126666667,0.086206897,0.556701031,0.353741497,0.224852071,0.158730159,0.195704057,0.108888889,0.066523605,0.042105263
FIRFIRGCD_HPV,1883,0.376076872,2050,0.531107045,0.985333333,0.680207026,0.753960997,0.505036608,0.356163683,0.206483711,0.430769231,0.259259259,0.160305344,0.114864865,0.602150538,0.411764706,0.276315789,0.206060606,0.256880734,0.142458101,0.088235294,0.057441253
